server_region,concurrent_players,packet_size_kb,is_ranked_match,latency_ms
3,2343,8.4,0,178.43
3,6989,5.2,1,114.71
5,1564,6.1,1,143.69
1,101,9.7,0,108.65
3,208,6.0,0,107.57
5,2433,0.7,1,67.95
2,5001,2.4,1,44.81
2,6330,3.6,0,95.73
5,2107,2.6,1,99.19
4,8956,2.4,0,112.82
5,7512,7.8,1,151.89
5,8324,9.0,1,167.5
4,6580,5.5,1,101.75
4,9217,6.3,0,143.6
3,1572,5.2,0,101.26
3,6270,1.2,0,63.67
3,9753,3.3,1,111.55
1,8879,3.8,1,72.06
5,2051,5.6,1,125.59
3,1283,4.8,1,82.91
2,3103,2.7,1,52.93
1,909,9.6,1,88.56
2,8148,1.6,0,94.44
3,4682,4.4,0,108.01
3,1527,4.1,1,58.56
